arquivo;algoritmo;estrutura;execucao;tempo_ms
sample100-1980.gr;BFS;LISTA;1;6,7352
sample100-1980.gr;BFS;LISTA;2;6,0891
sample100-1980.gr;BFS;LISTA;3;5,7484
sample100-1980.gr;BFS;LISTA;4;4,0993
sample100-1980.gr;BFS;LISTA;5;3,7540
sample100-1980.gr;BFS;LISTA;6;3,3212
sample100-1980.gr;BFS;LISTA;7;2,9120
sample100-1980.gr;BFS;LISTA;8;2,9077
sample100-1980.gr;BFS;LISTA;9;2,8807
sample100-1980.gr;BFS;LISTA;10;3,2945
sample100-1980.gr;BFS;LISTA;11;3,2240
sample100-1980.gr;BFS;MATRIZ;1;3,6267
sample100-1980.gr;BFS;MATRIZ;2;3,3500
sample100-1980.gr;BFS;MATRIZ;3;3,1217
sample100-1980.gr;BFS;MATRIZ;4;3,6279
sample100-1980.gr;BFS;MATRIZ;5;2,8739
sample100-1980.gr;BFS;MATRIZ;6;2,9664
sample100-1980.gr;BFS;MATRIZ;7;2,9196
sample100-1980.gr;BFS;MATRIZ;8;3,5791
sample100-1980.gr;BFS;MATRIZ;9;3,3334
sample100-1980.gr;BFS;MATRIZ;10;2,7780
sample100-1980.gr;BFS;MATRIZ;11;2,7409
sample100-1980.gr;DFS;LISTA;1;4,0723
sample100-1980.gr;DFS;LISTA;2;2,2986
sample100-1980.gr;DFS;LISTA;3;2,4954
sample100-1980.gr;DFS;LISTA;4;2,2923
sample100-1980.gr;DFS;LISTA;5;2,5773
sample100-1980.gr;DFS;LISTA;6;2,5972
sample100-1980.gr;DFS;LISTA;7;2,4399
sample100-1980.gr;DFS;LISTA;8;2,5964
sample100-1980.gr;DFS;LISTA;9;2,5262
sample100-1980.gr;DFS;LISTA;10;2,3466
sample100-1980.gr;DFS;LISTA;11;2,1864
sample100-1980.gr;DFS;MATRIZ;1;2,1109
sample100-1980.gr;DFS;MATRIZ;2;3,2766
sample100-1980.gr;DFS;MATRIZ;3;2,2716
sample100-1980.gr;DFS;MATRIZ;4;1,5085
sample100-1980.gr;DFS;MATRIZ;5;1,7757
sample100-1980.gr;DFS;MATRIZ;6;2,6371
sample100-1980.gr;DFS;MATRIZ;7;1,8446
sample100-1980.gr;DFS;MATRIZ;8;5,2601
sample100-1980.gr;DFS;MATRIZ;9;2,5214
sample100-1980.gr;DFS;MATRIZ;10;2,5298
sample100-1980.gr;DFS;MATRIZ;11;2,8836
sample100-1980.gr;KRUSKAL;LISTA;1;15,7400
sample100-1980.gr;KRUSKAL;LISTA;2;7,2827
sample100-1980.gr;KRUSKAL;LISTA;3;6,9537
sample100-1980.gr;KRUSKAL;LISTA;4;6,0621
